model,regime,seed,cp_method,cov_stressed,cov_all,stress_drop
lstm,GF,42,pid_tan_cqr,0.8631578947368421,0.8511811023622047,0.011976792374637446
lstm,GF,42,saocp_cqr,0.9263157894736842,0.9385826771653544,-0.01226688769167017
lstm,GF,42,sfogd_cqr,0.8605263157894737,0.8149606299212598,0.04556568586821386
lstm,GF,42,spci_cqr,0.8131578947368421,0.7921259842519685,0.021031910484873628
lstm,GF,43,aci_cqr,0.868421052631579,0.8377952755905512,0.030625777041027757
lstm,GF,43,agaci_cqr,0.8447368421052631,0.8212598425196851,0.02347699958557803
lstm,GF,43,cqr_rolling,0.8631578947368421,0.8433070866141732,0.019850808122668928
lstm,GF,43,cqr_static,0.8526315789473684,0.8748031496062992,-0.022171570658930828
lstm,GF,43,decay_ocp_cqr,0.9184210526315789,0.931496062992126,-0.013075010360547035
lstm,GF,43,dtaci_cqr,0.8736842105263158,0.8433070866141732,0.030377123912142645
lstm,GF,43,mondrian_cqr,0.8921052631578947,0.868503937007874,0.02360132615002075
lstm,GF,43,native,0.9421052631578948,0.9574803149606299,-0.015375051802735129
lstm,GF,43,pid_cqr,0.8473684210526315,0.831496062992126,0.015872358060505576
lstm,GF,43,pid_local_cqr,0.8631578947368421,0.8299212598425196,0.03323663489432249
lstm,GF,43,pid_tan_cqr,0.8552631578947368,0.8409448818897638,0.01431827600497304
lstm,GF,43,saocp_cqr,0.9605263157894737,0.9645669291338582,-0.004040613344384547
lstm,GF,43,sfogd_cqr,0.85,0.8118110236220473,0.03818897637795271
lstm,GF,43,spci_cqr,0.8210526315789474,0.7850393700787401,0.03601326150020723
lstm,GF,44,aci_cqr,0.8605263157894737,0.8401574803149606,0.02036883547451307
lstm,GF,44,agaci_cqr,0.8526315789473684,0.8291338582677166,0.023497720679651835
lstm,GF,44,cqr_rolling,0.8657894736842106,0.8472440944881889,0.018545379196021616
lstm,GF,44,cqr_static,0.868421052631579,0.8913385826771654,-0.022917530045586387
lstm,GF,44,decay_ocp_cqr,0.8394736842105263,0.8472440944881889,-0.007770410277662676
lstm,GF,44,dtaci_cqr,0.8710526315789474,0.8472440944881889,0.023808537090758475
lstm,GF,44,mondrian_cqr,0.8973684210526316,0.8803149606299212,0.017053460422710387
lstm,GF,44,native,0.6105263157894737,0.6307086614173228,-0.020182345627849152
lstm,GF,44,pid_cqr,0.8605263157894737,0.8204724409448819,0.040053874844591775
lstm,GF,44,pid_local_cqr,0.8552631578947368,0.8173228346456692,0.0379403232490676
lstm,GF,44,pid_tan_cqr,0.8526315789473684,0.8291338582677166,0.023497720679651835
lstm,GF,44,saocp_cqr,0.868421052631579,0.8519685039370078,0.016452548694571134
lstm,GF,44,sfogd_cqr,0.8473684210526315,0.8110236220472441,0.03634479900538745
lstm,GF,44,spci_cqr,0.8394736842105263,0.7811023622047244,0.05837132200580186
lstm,GI,42,aci_cqr,0.8842105263157894,0.8188976377952756,0.06531288852051387
lstm,GI,42,agaci_cqr,0.8710526315789474,0.8070866141732284,0.06396601740571906
lstm,GI,42,cqr_rolling,0.8973684210526316,0.837007874015748,0.06036054703688354
lstm,GI,42,cqr_static,0.9315789473684211,0.9496062992125984,-0.018027351844177364
lstm,GI,42,decay_ocp_cqr,0.9184210526315789,0.9291338582677166,-0.010712805636137634
lstm,GI,42,dtaci_cqr,0.8921052631578947,0.8236220472440945,0.06848321591380024
lstm,GI,42,mondrian_cqr,0.9078947368421053,0.878740157480315,0.029154579361790334
lstm,GI,42,native,0.9,0.9118110236220472,-0.011811023622047223
lstm,GI,42,pid_cqr,0.8894736842105263,0.8299212598425196,0.05955242436800667
lstm,GI,42,pid_local_cqr,0.8842105263157894,0.8338582677165355,0.05035225859925396
lstm,GI,42,pid_tan_cqr,0.8842105263157894,0.8519685039370078,0.0322420223787816
lstm,GI,42,saocp_cqr,0.9342105263157895,0.9346456692913386,-0.00043514297554914094
lstm,GI,42,sfogd_cqr,0.8578947368421053,0.8102362204724409,0.04765851636966434
lstm,GI,42,spci_cqr,0.85,0.7960629921259843,0.053937007874015674
lstm,GI,43,aci_cqr,0.8447368421052631,0.8322834645669291,0.012453377538333976
lstm,GI,43,agaci_cqr,0.8315789473684211,0.8228346456692913,0.008744301699129764
lstm,GI,43,cqr_rolling,0.8368421052631579,0.8354330708661417,0.001409034397016229
lstm,GI,43,cqr_static,0.7868421052631579,0.831496062992126,-0.044653957728968074
lstm,GI,43,decay_ocp_cqr,0.8947368421052632,0.9228346456692913,-0.028097803564028134
lstm,GI,43,dtaci_cqr,0.8421052631578947,0.8377952755905512,0.004309987567343465
lstm,GI,43,mondrian_cqr,0.8736842105263158,0.8645669291338582,0.009117281392457599
lstm,GI,43,native,0.9236842105263158,0.9496062992125984,-0.02592208868628265
lstm,GI,43,pid_cqr,0.8473684210526315,0.8322834645669291,0.015084956485702405
lstm,GI,43,pid_local_cqr,0.8605263157894737,0.8322834645669291,0.02824285122254455
lstm,GI,43,pid_tan_cqr,0.8210526315789474,0.8409448818897638,-0.01989225031081643
lstm,GI,43,saocp_cqr,0.9552631578947368,0.9606299212598425,-0.0053667633651056645
lstm,GI,43,sfogd_cqr,0.8473684210526315,0.8149606299212598,0.03240779113137171
lstm,GI,43,spci_cqr,0.8263157894736842,0.789763779527559,0.036552009946125175
lstm,GI,44,aci_cqr,0.8657894736842106,0.8448818897637795,0.020907583920431017
lstm,GI,44,agaci_cqr,0.8605263157894737,0.8338582677165355,0.02666804807293821
lstm,GI,44,cqr_rolling,0.8552631578947368,0.8496062992125984,0.005656858682138388
lstm,GI,44,cqr_static,0.8052631578947368,0.8322834645669291,-0.02702030667219235
lstm,GI,44,decay_ocp_cqr,0.7868421052631579,0.8212598425196851,-0.03441773725652719
lstm,GI,44,dtaci_cqr,0.8789473684210526,0.8440944881889764,0.03485288023207622
lstm,GI,44,mondrian_cqr,0.8947368421052632,0.878740157480315,0.015996684624948188
lstm,GI,44,native,0.5973684210526315,0.6346456692913386,-0.03727724823870704
lstm,GI,44,pid_cqr,0.8631578947368421,0.8181102362204724,0.045047658516369715
lstm,GI,44,pid_local_cqr,0.8631578947368421,0.815748031496063,0.047409863240779115
lstm,GI,44,pid_tan_cqr,0.85,0.8393700787401575,0.010629921259842523
lstm,GI,44,saocp_cqr,0.8736842105263158,0.8472440944881889,0.026440116038126904
lstm,GI,44,sfogd_cqr,0.8631578947368421,0.8149606299212598,0.048197264815582286
lstm,GI,44,spci_cqr,0.8631578947368421,0.7984251968503937,0.06473269788644842
lstm,L,42,aci_cqr,0.8289473684210527,0.7976377952755905,0.03130957314546212
lstm,L,42,agaci_cqr,0.8315789473684211,0.8062992125984252,0.0252797347699959
