model,regime,seed,cp_method,regime_label,coverage,winkler,skill,skill_iqr,n_countries,regime_kind
lgbm,L,42,cqr_rolling,qe,0.8413333333333334,0.5523251684978451,0.053939734812015694,0.07575744320412356,10,calendar
lgbm,L,42,cqr_static,hiking,0.8788461538461538,0.43337638223268377,-0.059497344644098504,0.3368132693471233,10,calendar
lgbm,L,42,cqr_static,qe,0.8586666666666667,0.6398030197145059,0.05810669760076581,0.14139117264503218,10,calendar
lgbm,L,42,decay_ocp_cqr,hiking,0.8480769230769231,0.28200537417195914,0.05928773243808205,0.46251683932582877,10,calendar
lgbm,L,42,decay_ocp_cqr,qe,0.844,0.5490913688624527,0.06594176349506026,0.08528791182671985,10,calendar
lgbm,L,42,dtaci_cqr,hiking,0.8038461538461539,0.24904902590472724,0.06733535007379154,0.6298547075487486,10,calendar
lgbm,L,42,dtaci_cqr,qe,0.8386666666666667,0.5459058982929326,0.056763469760497065,0.08188592108969384,10,calendar
lgbm,L,42,mondrian_cqr,hiking,0.8653846153846154,0.27064206240409094,0.03072283420421784,0.5862969685462055,10,calendar
lgbm,L,42,mondrian_cqr,qe,0.8773333333333333,0.5980443330725901,-0.03934896126712761,0.12307332665363913,10,calendar
lgbm,L,42,native,hiking,0.85,0.25942704788022136,0.05976634470655434,0.5612296862164556,10,calendar
lgbm,L,42,native,qe,0.8093333333333333,0.5288516358881677,0.0682848957663596,0.09895481902574466,10,calendar
lgbm,L,42,pid_cqr,hiking,0.7980769230769231,0.2624119042580853,0.05901370383316734,0.5838912638242272,10,calendar
lgbm,L,42,pid_cqr,qe,0.8213333333333334,0.5476765368281669,0.05044916551641271,0.08388508139912323,10,calendar
lgbm,L,42,pid_local_cqr,hiking,0.8038461538461539,0.2746764831158973,0.046843045854225884,0.513054382353294,10,calendar
lgbm,L,42,pid_local_cqr,qe,0.8173333333333334,0.5651295415258223,0.027197138935540044,0.07996328385634471,10,calendar
lgbm,L,42,pid_tan_cqr,hiking,0.7980769230769231,0.2950070723566323,-0.07861247464193655,0.7603937915602466,10,calendar
lgbm,L,42,pid_tan_cqr,qe,0.8373333333333334,0.6469831278903119,-0.1378619099737648,0.15053069525631618,10,calendar
lgbm,L,42,saocp_cqr,hiking,0.9019230769230769,0.2885982327359099,-0.008289899696580894,0.5269527726425896,10,calendar
lgbm,L,42,saocp_cqr,qe,0.8826666666666667,0.5696076061631464,0.026436508190960273,0.09560697954625569,10,calendar
lgbm,L,42,sfogd_cqr,hiking,0.7903846153846154,0.28351976703961435,0.03453390533204842,0.5513101909540644,10,calendar
lgbm,L,42,sfogd_cqr,qe,0.812,0.5654612196443275,0.008788862333364178,0.08279642749153188,10,calendar
lgbm,L,42,spci_cqr,hiking,0.7326923076923076,0.2620838695599361,0.0658407589237951,0.6589378019318329,10,calendar
lgbm,L,42,spci_cqr,qe,0.788,0.5583638447946038,0.008557451135327743,0.14906079138359898,10,calendar
lgbm_const,G,42,aci_cqr,hiking,0.7884615384615384,0.27405422487471487,0.15731374719506108,0.33360663703047266,10,calendar
lgbm_const,G,42,aci_cqr,qe,0.8373333333333334,0.5387769458038225,0.04324342441875456,0.05748396305200154,10,calendar
lgbm_const,G,42,agaci_cqr,hiking,0.7884615384615384,0.2682103492022353,0.1566137307174469,0.33047065225795136,10,calendar
lgbm_const,G,42,agaci_cqr,qe,0.824,0.5324966380395771,0.05532199195945753,0.049113078598749804,10,calendar
lgbm_const,G,42,cqr_rolling,hiking,0.8057692307692308,0.2767280744732627,0.16030109963382805,0.33382131600028875,10,calendar
lgbm_const,G,42,cqr_rolling,qe,0.8453333333333334,0.5458657181576188,0.042521434223042,0.08040922722468358,10,calendar
lgbm_const,G,42,cqr_static,hiking,0.9230769230769231,0.5856719457042746,-0.033954672920840645,0.311696055040852,10,calendar
lgbm_const,G,42,cqr_static,qe,0.8893333333333333,0.6974476427692725,0.0021654842392273554,0.17552804737198105,10,calendar
lgbm_const,G,42,decay_ocp_cqr,hiking,0.8865384615384615,0.362692200161426,0.05360101774010306,0.11425376748448451,10,calendar
lgbm_const,G,42,decay_ocp_cqr,qe,0.8693333333333333,0.5794528305132671,0.00766881816678161,0.06315144158005753,10,calendar
lgbm_const,G,42,dtaci_cqr,hiking,0.8,0.2723381433190458,0.15764379240180204,0.33246564746122764,10,calendar
lgbm_const,G,42,dtaci_cqr,qe,0.848,0.5278168511513908,0.056600104865522416,0.0506296303648644,10,calendar
lgbm_const,G,42,mondrian_cqr,hiking,0.8423076923076923,0.2922802523479323,0.06024981270764329,0.3979324703127656,10,calendar
lgbm_const,G,42,mondrian_cqr,qe,0.8586666666666667,0.5904812372056455,-0.03620212658539701,0.057486172688867576,10,calendar
lgbm_const,G,42,native,hiking,0.8865384615384615,0.34598467274319916,0.08267959903830063,0.1362189229128648,10,calendar
lgbm_const,G,42,native,qe,0.84,0.5400973626779468,0.05277797206774271,0.03856382071156289,10,calendar
lgbm_const,G,42,pid_cqr,hiking,0.7961538461538461,0.27291222305755736,0.12688390916948727,0.34965818615879024,10,calendar
