country,model,regime,seed,cp_method,mcs_pval,in_mcs
NL,xlstm_const,G,44,pid_cqr,0.406,True
NL,xlstm_const,GF,43,dtaci_cqr,0.406,True
NL,xlstm_const,L,42,spci_cqr,0.406,True
PT,rw,L,42,native,0.0,False
PT,xlstm,GI,42,native,0.077,False
PT,arma,L,42,dtaci_cqr,0.121,True
PT,arma_monthly,L,42,dtaci_cqr,0.121,True
PT,lgbm,G,42,decay_ocp_cqr,0.121,True
PT,lgbm,GI,42,cqr_rolling,0.121,True
PT,lgbm,L,42,native,0.121,True
PT,lgbm_const,G,42,cqr_rolling,0.121,True
PT,lgbm_const,L,42,aci_cqr,0.121,True
PT,lstm,G,43,pid_cqr,0.121,True
PT,lstm,GF,43,pid_cqr,0.121,True
PT,lstm,GI,44,pid_local_cqr,0.121,True
PT,lstm,L,42,pid_cqr,0.121,True
PT,lstm_const,G,43,agaci_cqr,0.121,True
PT,lstm_const,GF,43,agaci_cqr,0.121,True
PT,lstm_const,L,44,aci_cqr,0.121,True
PT,rw,L,42,aci_cqr,0.121,True
PT,tirex,ZS,42,native,0.121,True
PT,tirex2,ZS,42,cqr_static,0.121,True
PT,tirex2_cov,ZS,42,native,0.121,True
PT,xlstm,G,43,pid_cqr,0.121,True
PT,xlstm,GF,43,cqr_rolling,0.121,True
PT,xlstm,L,44,native,0.121,True
PT,xlstm_const,G,44,pid_cqr,0.121,True
PT,xlstm_const,GF,43,dtaci_cqr,0.121,True
PT,xlstm_const,L,42,spci_cqr,0.121,True
