model,regime,seed,cp_method,valid_country_share,validity_flag
lstm_const,GF,43,native,0.3,False
lstm_const,GF,43,pid_cqr,1.0,True
lstm_const,GF,43,pid_local_cqr,0.9,True
lstm_const,GF,43,pid_tan_cqr,0.6,False
lstm_const,GF,43,saocp_cqr,0.1,False
lstm_const,GF,43,sfogd_cqr,0.9,True
lstm_const,GF,43,spci_cqr,0.9,True
lstm_const,GF,44,aci_cqr,1.0,True
lstm_const,GF,44,agaci_cqr,1.0,True
lstm_const,GF,44,cqr_rolling,0.9,True
lstm_const,GF,44,cqr_static,0.4,False
lstm_const,GF,44,decay_ocp_cqr,0.4,False
lstm_const,GF,44,dtaci_cqr,1.0,True
lstm_const,GF,44,mondrian_cqr,0.6,False
lstm_const,GF,44,native,0.3,False
lstm_const,GF,44,pid_cqr,0.8,True
lstm_const,GF,44,pid_local_cqr,0.9,True
lstm_const,GF,44,pid_tan_cqr,0.5,False
lstm_const,GF,44,saocp_cqr,0.0,False
lstm_const,GF,44,sfogd_cqr,0.9,True
lstm_const,GF,44,spci_cqr,0.9,True
lstm_const,L,42,aci_cqr,1.0,True
lstm_const,L,42,agaci_cqr,1.0,True
lstm_const,L,42,cqr_rolling,0.9,True
lstm_const,L,42,cqr_static,0.4,False
lstm_const,L,42,decay_ocp_cqr,0.5,False
lstm_const,L,42,dtaci_cqr,1.0,True
lstm_const,L,42,mondrian_cqr,0.9,True
lstm_const,L,42,native,0.5,False
lstm_const,L,42,pid_cqr,0.9,True
lstm_const,L,42,pid_local_cqr,0.9,True
lstm_const,L,42,pid_tan_cqr,0.7,True
lstm_const,L,42,saocp_cqr,0.2,False
lstm_const,L,42,sfogd_cqr,0.9,True
lstm_const,L,42,spci_cqr,0.9,True
lstm_const,L,43,aci_cqr,0.9,True
lstm_const,L,43,agaci_cqr,1.0,True
lstm_const,L,43,cqr_rolling,1.0,True
lstm_const,L,43,cqr_static,0.2,False
lstm_const,L,43,decay_ocp_cqr,0.5,False
lstm_const,L,43,dtaci_cqr,1.0,True
lstm_const,L,43,mondrian_cqr,0.5,False
lstm_const,L,43,native,0.4,False
lstm_const,L,43,pid_cqr,1.0,True
lstm_const,L,43,pid_local_cqr,0.9,True
lstm_const,L,43,pid_tan_cqr,0.7,True
lstm_const,L,43,saocp_cqr,0.3,False
lstm_const,L,43,sfogd_cqr,0.8,True
lstm_const,L,43,spci_cqr,0.9,True
lstm_const,L,44,aci_cqr,1.0,True
lstm_const,L,44,agaci_cqr,1.0,True
lstm_const,L,44,cqr_rolling,0.9,True
lstm_const,L,44,cqr_static,0.4,False
lstm_const,L,44,decay_ocp_cqr,0.5,False
lstm_const,L,44,dtaci_cqr,1.0,True
lstm_const,L,44,mondrian_cqr,0.8,True
lstm_const,L,44,native,0.5,False
lstm_const,L,44,pid_cqr,1.0,True
lstm_const,L,44,pid_local_cqr,0.9,True
lstm_const,L,44,pid_tan_cqr,0.8,True
lstm_const,L,44,saocp_cqr,0.2,False
lstm_const,L,44,sfogd_cqr,1.0,True
lstm_const,L,44,spci_cqr,0.9,True
rw,L,42,aci_cqr,1.0,True
rw,L,42,agaci_cqr,1.0,True
rw,L,42,cqr_rolling,0.9,True
rw,L,42,cqr_static,0.3,False
rw,L,42,decay_ocp_cqr,0.5,False
rw,L,42,dtaci_cqr,1.0,True
rw,L,42,mondrian_cqr,0.7,True
rw,L,42,native,0.4,False
rw,L,42,pid_cqr,0.9,True
rw,L,42,pid_local_cqr,1.0,True
rw,L,42,pid_tan_cqr,0.6,False
rw,L,42,saocp_cqr,0.0,False
rw,L,42,sfogd_cqr,0.8,True
rw,L,42,spci_cqr,0.9,True
tirex,ZS,42,aci_cqr,1.0,True
tirex,ZS,42,agaci_cqr,1.0,True
tirex,ZS,42,cqr_rolling,1.0,True
tirex,ZS,42,cqr_static,0.6,False
tirex,ZS,42,decay_ocp_cqr,1.0,True
tirex,ZS,42,dtaci_cqr,1.0,True
tirex,ZS,42,mondrian_cqr,0.6,False
tirex,ZS,42,native,1.0,True
tirex,ZS,42,pid_cqr,0.9,True
tirex,ZS,42,pid_local_cqr,0.9,True
tirex,ZS,42,pid_tan_cqr,0.9,True
tirex,ZS,42,saocp_cqr,0.3,False
tirex,ZS,42,sfogd_cqr,0.9,True
tirex,ZS,42,spci_cqr,0.9,True
tirex2,ZS,42,aci_cqr,1.0,True
tirex2,ZS,42,agaci_cqr,1.0,True
tirex2,ZS,42,cqr_rolling,1.0,True
tirex2,ZS,42,cqr_static,0.8,True
tirex2,ZS,42,decay_ocp_cqr,1.0,True
tirex2,ZS,42,dtaci_cqr,1.0,True
tirex2,ZS,42,mondrian_cqr,0.9,True
tirex2,ZS,42,native,0.7,True
tirex2,ZS,42,pid_cqr,1.0,True
tirex2,ZS,42,pid_local_cqr,1.0,True
tirex2,ZS,42,pid_tan_cqr,0.6,False
tirex2,ZS,42,saocp_cqr,0.3,False
tirex2,ZS,42,sfogd_cqr,0.8,True
tirex2,ZS,42,spci_cqr,1.0,True
tirex2_cov,ZS,42,aci_cqr,1.0,True
tirex2_cov,ZS,42,agaci_cqr,1.0,True
tirex2_cov,ZS,42,cqr_rolling,1.0,True
tirex2_cov,ZS,42,cqr_static,0.7,True
tirex2_cov,ZS,42,decay_ocp_cqr,1.0,True
tirex2_cov,ZS,42,dtaci_cqr,1.0,True
tirex2_cov,ZS,42,mondrian_cqr,0.8,True
tirex2_cov,ZS,42,native,0.8,True
tirex2_cov,ZS,42,pid_cqr,1.0,True
tirex2_cov,ZS,42,pid_local_cqr,1.0,True
tirex2_cov,ZS,42,pid_tan_cqr,0.6,False
tirex2_cov,ZS,42,saocp_cqr,0.3,False
tirex2_cov,ZS,42,sfogd_cqr,0.9,True
tirex2_cov,ZS,42,spci_cqr,0.9,True
xlstm,G,42,aci_cqr,0.8,True
xlstm,G,42,agaci_cqr,1.0,True
xlstm,G,42,cqr_rolling,0.9,True
xlstm,G,42,cqr_static,0.5,False
xlstm,G,42,decay_ocp_cqr,0.8,True
xlstm,G,42,dtaci_cqr,1.0,True
xlstm,G,42,mondrian_cqr,0.8,True
xlstm,G,42,native,0.5,False
xlstm,G,42,pid_cqr,1.0,True
xlstm,G,42,pid_local_cqr,0.7,True
xlstm,G,42,pid_tan_cqr,0.4,False
xlstm,G,42,saocp_cqr,0.2,False
xlstm,G,42,sfogd_cqr,0.9,True
xlstm,G,42,spci_cqr,0.9,True
xlstm,G,43,aci_cqr,0.7,True
xlstm,G,43,agaci_cqr,0.9,True
xlstm,G,43,cqr_rolling,0.8,True
xlstm,G,43,cqr_static,0.3,False
xlstm,G,43,decay_ocp_cqr,0.3,False
xlstm,G,43,dtaci_cqr,0.9,True
xlstm,G,43,mondrian_cqr,0.9,True
xlstm,G,43,native,0.1,False
xlstm,G,43,pid_cqr,1.0,True
xlstm,G,43,pid_local_cqr,1.0,True
xlstm,G,43,pid_tan_cqr,0.8,True
xlstm,G,43,saocp_cqr,0.0,False
xlstm,G,43,sfogd_cqr,0.9,True
xlstm,G,43,spci_cqr,0.8,True
xlstm,G,44,aci_cqr,0.6,False
xlstm,G,44,agaci_cqr,0.9,True
xlstm,G,44,cqr_rolling,0.6,False
xlstm,G,44,cqr_static,0.3,False
xlstm,G,44,decay_ocp_cqr,0.4,False
xlstm,G,44,dtaci_cqr,1.0,True
xlstm,G,44,mondrian_cqr,0.3,False
xlstm,G,44,native,0.2,False
xlstm,G,44,pid_cqr,1.0,True
xlstm,G,44,pid_local_cqr,1.0,True
xlstm,G,44,pid_tan_cqr,0.5,False
xlstm,G,44,saocp_cqr,0.0,False
xlstm,G,44,sfogd_cqr,1.0,True
xlstm,G,44,spci_cqr,0.9,True
xlstm,GF,42,aci_cqr,0.7,True
xlstm,GF,42,agaci_cqr,1.0,True
xlstm,GF,42,cqr_rolling,0.8,True
xlstm,GF,42,cqr_static,0.5,False
xlstm,GF,42,decay_ocp_cqr,0.8,True
xlstm,GF,42,dtaci_cqr,0.8,True
xlstm,GF,42,mondrian_cqr,0.8,True
xlstm,GF,42,native,0.6,False
xlstm,GF,42,pid_cqr,0.9,True
xlstm,GF,42,pid_local_cqr,0.9,True
xlstm,GF,42,pid_tan_cqr,0.5,False
xlstm,GF,42,saocp_cqr,0.1,False
xlstm,GF,42,sfogd_cqr,1.0,True
xlstm,GF,42,spci_cqr,0.8,True
xlstm,GF,43,aci_cqr,0.8,True
xlstm,GF,43,agaci_cqr,1.0,True
xlstm,GF,43,cqr_rolling,0.8,True
xlstm,GF,43,cqr_static,0.6,False
xlstm,GF,43,decay_ocp_cqr,0.4,False
xlstm,GF,43,dtaci_cqr,0.9,True
xlstm,GF,43,mondrian_cqr,0.7,True
xlstm,GF,43,native,0.2,False
xlstm,GF,43,pid_cqr,1.0,True
xlstm,GF,43,pid_local_cqr,0.9,True
xlstm,GF,43,pid_tan_cqr,0.6,False
xlstm,GF,43,saocp_cqr,0.0,False
xlstm,GF,43,sfogd_cqr,0.8,True
xlstm,GF,43,spci_cqr,0.9,True
xlstm,GF,44,aci_cqr,0.9,True
xlstm,GF,44,agaci_cqr,0.8,True
xlstm,GF,44,cqr_rolling,0.8,True
xlstm,GF,44,cqr_static,0.4,False
xlstm,GF,44,decay_ocp_cqr,0.4,False
xlstm,GF,44,dtaci_cqr,0.7,True
