model,regime,seed,cp_method,median_skill,mean_skill,mean_coverage,mean_abs_gap,median_mae_ratio,n_countries,valid_country_share,validity_flag,seed_span
xlstm,L,44,pid_cqr,0.0620142833979786,0.06777486827511586,0.8070866141732284,0.013700787401574776,1.0780731998877844,10,1.0,True,0.07342701232073218
xlstm_const,L,42,dtaci_cqr,0.0616560377205419,0.08758449720449074,0.8236220472440945,0.023622047244094436,1.0731227171946855,10,0.9,True,0.06252870557440426
arma_monthly,L,42,dtaci_cqr,0.06119862448265845,0.09517052963259257,0.8094488188976378,0.017007874015748003,1.013710100950241,10,1.0,True,0.0
lstm,L,43,native,0.0606454206404099,0.0772286866274284,0.8755905511811024,0.07653543307086612,1.0595414992334111,10,0.6,False,0.04283383640419158
lstm_const,L,43,aci_cqr,0.060485786470164005,0.07530596545974308,0.8015748031496063,0.018267716535433076,1.0595414992334111,10,0.9,True,0.029313843393922123
lstm_const,G,43,pid_local_cqr,0.0601504834547274,0.070633451530167,0.8125984251968503,0.013543307086614132,1.0036248741044753,10,0.9,True,0.01806795522044119
lstm_const,G,42,spci_cqr,0.0598822551410127,0.09011258042910561,0.7755905511811024,0.033228346456692925,1.0975025838268582,10,0.9,True,0.008994325195702202
xlstm,L,44,aci_cqr,0.059469998676592084,0.06085178005672318,0.8125984251968503,0.019212598425196827,1.0780731998877844,10,1.0,True,0.11056437003642627
lstm_const,GF,44,spci_cqr,0.05908207335351229,0.08788316804306258,0.7606299212598425,0.04062992125984257,1.1152851783771938,10,0.9,True,0.012716253177802783
lstm_const,L,43,dtaci_cqr,0.059081308595967386,0.0845363252816973,0.8110236220472441,0.017637795275590517,1.0595414992334111,10,1.0,True,0.024752601501568605
lstm_const,GF,42,spci_cqr,0.05869557749220855,0.09005825363019129,0.7755905511811024,0.02944881889763782,1.11059923106435,10,1.0,True,0.012716253177802783
arma,L,42,dtaci_cqr,0.058415669812322046,0.0931119338374892,0.8125984251968503,0.01606299212598421,1.0173893383146013,10,1.0,True,0.0
arma_monthly,L,42,pid_cqr,0.05801640330862079,0.07926078748178789,0.8133858267716535,0.013385826771653498,1.013710100950241,10,0.9,True,0.0
lgbm,G,42,pid_local_cqr,0.05785049775441081,0.07228113023559687,0.8094488188976378,0.012283464566929104,1.0472634168958308,10,1.0,True,0.0
lgbm,G,42,sfogd_cqr,0.05762659730412667,0.053427937155607896,0.8007874015748031,0.005511811023622038,1.0472634168958308,10,0.9,True,0.0
arma_monthly,L,42,agaci_cqr,0.057381690957884424,0.09012892967506073,0.8,0.013858267716535422,1.013710100950241,10,1.0,True,0.0
lstm,GF,43,pid_cqr,0.05722907313838521,0.05946095896607663,0.831496062992126,0.03149606299212593,1.0172830632198389,10,1.0,True,0.02768397179352139
xlstm_const,L,42,cqr_rolling,0.05699824542109022,0.07716683263497835,0.8370078740157479,0.04204724409448816,1.0731227171946855,10,0.9,True,0.06836300021424668
lstm,L,42,dtaci_cqr,0.056644606452795065,0.07652501207011776,0.815748031496063,0.026456692913385794,1.0670996780076687,10,0.9,True,0.04452867165122454
