label,rq,a,b,median_dbar_norm,share_a_better,share_sig,median_p,t_panel,n_countries,median_q,share_sig_fdr
RQ2 xlstm/GF (pid_tan_cqr): adaptiv vs const,RQ2,xlstm/GF/42/pid_tan_cqr,xlstm_const/GF/42/pid_tan_cqr,-0.024672022384562467,0.6,0.3,0.3091884075399587,-0.9718889633263733,10,0.47625277608272615,0.3
RQ2 xlstm/GF (saocp_cqr): adaptiv vs const,RQ2,xlstm/GF/42/saocp_cqr,xlstm_const/GF/42/saocp_cqr,-0.013273212465210966,0.5,0.5,0.08323408893663287,-2.4540882905852697,10,0.10763845547473244,0.5
RQ2 xlstm/GF (sfogd_cqr): adaptiv vs const,RQ2,xlstm/GF/42/sfogd_cqr,xlstm_const/GF/42/sfogd_cqr,-0.010602133271286859,0.5,0.3,0.4106910736910828,-1.696195698451707,10,0.46749521504246433,0.16666666666666666
RQ2 xlstm/GF (spci_cqr): adaptiv vs const,RQ2,xlstm/GF/42/spci_cqr,xlstm_const/GF/42/spci_cqr,-0.03763825722679452,0.6,0.3,0.1826643914978764,-0.5086399618016363,10,0.5250488761237653,0.16666666666666666
RQ2 xlstm/GF (aci_cqr): adaptiv vs const,RQ2,xlstm/GF/43/aci_cqr,xlstm_const/GF/43/aci_cqr,0.06895393557547963,0.3,0.4,0.10489642582663683,1.1596683529821707,10,0.2257709748404383,0.3
RQ2 xlstm/GF (agaci_cqr): adaptiv vs const,RQ2,xlstm/GF/43/agaci_cqr,xlstm_const/GF/43/agaci_cqr,0.05623553510020748,0.3,0.3,0.18276682311025427,1.0279635515562406,10,0.37036230199605835,0.3
RQ2 xlstm/GF (cqr_rolling): adaptiv vs const,RQ2,xlstm/GF/43/cqr_rolling,xlstm_const/GF/43/cqr_rolling,0.06034848497907576,0.3,0.4,0.13190915341026155,1.0116478563006126,10,0.32510759399786016,0.26666666666666666
RQ2 xlstm/GF (cqr_static): adaptiv vs const,RQ2,xlstm/GF/43/cqr_static,xlstm_const/GF/43/cqr_static,-0.04219376009665463,0.6,0.8,0.020238574756991312,-4.093549038329588,10,0.08326685668853814,0.5333333333333333
RQ2 xlstm/GF (decay_ocp_cqr): adaptiv vs const,RQ2,xlstm/GF/43/decay_ocp_cqr,xlstm_const/GF/43/decay_ocp_cqr,-0.0036705100284570784,0.5,0.6,0.060373936372471015,-0.34706715658946047,10,0.2643100996164647,0.36666666666666664
RQ2 xlstm/GF (dtaci_cqr): adaptiv vs const,RQ2,xlstm/GF/43/dtaci_cqr,xlstm_const/GF/43/dtaci_cqr,0.06780823022226702,0.2,0.3,0.20375196076451474,1.2027267358862987,10,0.3531009039946048,0.3
RQ2 xlstm/GF (mondrian_cqr): adaptiv vs const,RQ2,xlstm/GF/43/mondrian_cqr,xlstm_const/GF/43/mondrian_cqr,0.00947739000439276,0.5,0.2,0.4562436917125482,-0.20101906135683267,10,0.6171630429010118,0.2
RQ2 xlstm/GF (native): adaptiv vs const,RQ2,xlstm/GF/43/native,xlstm_const/GF/43/native,0.09180506671435762,0.3,0.8,0.00761938872464063,3.081732079708369,10,0.15767070059465121,0.43333333333333335
RQ2 xlstm/GF (pid_cqr): adaptiv vs const,RQ2,xlstm/GF/43/pid_cqr,xlstm_const/GF/43/pid_cqr,0.03961037478881462,0.2,0.4,0.28712417655800615,0.7900139655138756,10,0.31130873909744117,0.3
RQ2 xlstm/GF (pid_local_cqr): adaptiv vs const,RQ2,xlstm/GF/43/pid_local_cqr,xlstm_const/GF/43/pid_local_cqr,0.043399519899979644,0.3,0.5,0.1393235307990326,0.6406275032126239,10,0.37743817887265596,0.23333333333333334
RQ2 xlstm/GF (pid_tan_cqr): adaptiv vs const,RQ2,xlstm/GF/43/pid_tan_cqr,xlstm_const/GF/43/pid_tan_cqr,-0.0009345097040290955,0.5,0.2,0.4147781493798256,0.5169298129609745,10,0.47625277608272615,0.3
RQ2 xlstm/GF (saocp_cqr): adaptiv vs const,RQ2,xlstm/GF/43/saocp_cqr,xlstm_const/GF/43/saocp_cqr,0.09368073671568809,0.3,0.7,0.013918643951847609,3.4713339153430183,10,0.10763845547473244,0.5
RQ2 xlstm/GF (sfogd_cqr): adaptiv vs const,RQ2,xlstm/GF/43/sfogd_cqr,xlstm_const/GF/43/sfogd_cqr,0.06067024759779069,0.3,0.4,0.12133289326709773,0.7930789585555046,10,0.46749521504246433,0.16666666666666666
RQ2 xlstm/GF (spci_cqr): adaptiv vs const,RQ2,xlstm/GF/43/spci_cqr,xlstm_const/GF/43/spci_cqr,-0.0018869996042888755,0.6,0.0,0.5817977180422176,-0.2674306038815394,10,0.5250488761237653,0.16666666666666666
RQ2 xlstm/GF (aci_cqr): adaptiv vs const,RQ2,xlstm/GF/44/aci_cqr,xlstm_const/GF/44/aci_cqr,0.12209317614565929,0.1,0.6,0.016149659794217786,6.003047257904261,10,0.2257709748404383,0.3
RQ2 xlstm/GF (agaci_cqr): adaptiv vs const,RQ2,xlstm/GF/44/agaci_cqr,xlstm_const/GF/44/agaci_cqr,0.12810690578021033,0.1,0.6,0.0038144692896455723,6.0044991756496255,10,0.37036230199605835,0.3
RQ2 xlstm/GF (cqr_rolling): adaptiv vs const,RQ2,xlstm/GF/44/cqr_rolling,xlstm_const/GF/44/cqr_rolling,0.11824947787297033,0.1,0.6,0.02679440390157639,5.56936741885881,10,0.32510759399786016,0.26666666666666666
RQ2 xlstm/GF (cqr_static): adaptiv vs const,RQ2,xlstm/GF/44/cqr_static,xlstm_const/GF/44/cqr_static,-0.05241980674087024,0.7,0.6,0.02442020466996242,-1.9600648416132398,10,0.08326685668853814,0.5333333333333333
RQ2 xlstm/GF (decay_ocp_cqr): adaptiv vs const,RQ2,xlstm/GF/44/decay_ocp_cqr,xlstm_const/GF/44/decay_ocp_cqr,-0.004140943276405217,0.5,0.5,0.21264769315070509,0.3802541963491987,10,0.2643100996164647,0.36666666666666664
RQ2 xlstm/GF (dtaci_cqr): adaptiv vs const,RQ2,xlstm/GF/44/dtaci_cqr,xlstm_const/GF/44/dtaci_cqr,0.11157718016680242,0.1,0.6,0.019556323215001337,5.618093776042177,10,0.3531009039946048,0.3
RQ2 xlstm/GF (mondrian_cqr): adaptiv vs const,RQ2,xlstm/GF/44/mondrian_cqr,xlstm_const/GF/44/mondrian_cqr,-0.007252163404710396,0.7,0.3,0.5464901815153892,0.25888264024214025,10,0.6171630429010118,0.2
RQ2 xlstm/GF (native): adaptiv vs const,RQ2,xlstm/GF/44/native,xlstm_const/GF/44/native,0.010210478105890765,0.2,0.5,0.13341864550587335,2.6277368610403666,10,0.15767070059465121,0.43333333333333335
RQ2 xlstm/GF (pid_cqr): adaptiv vs const,RQ2,xlstm/GF/44/pid_cqr,xlstm_const/GF/44/pid_cqr,0.06863177123058348,0.1,0.5,0.17508270103982637,3.592971495165342,10,0.31130873909744117,0.3
RQ2 xlstm/GF (pid_local_cqr): adaptiv vs const,RQ2,xlstm/GF/44/pid_local_cqr,xlstm_const/GF/44/pid_local_cqr,0.06742538194039535,0.2,0.4,0.20805260352590838,3.2127124948083945,10,0.37743817887265596,0.23333333333333334
RQ2 xlstm/GF (pid_tan_cqr): adaptiv vs const,RQ2,xlstm/GF/44/pid_tan_cqr,xlstm_const/GF/44/pid_tan_cqr,0.13370275399000875,0.3,0.6,0.034932604290986546,4.5252315812857375,10,0.47625277608272615,0.3
RQ2 xlstm/GF (saocp_cqr): adaptiv vs const,RQ2,xlstm/GF/44/saocp_cqr,xlstm_const/GF/44/saocp_cqr,0.04521043922581445,0.2,0.5,0.08889325771292766,3.7372889598518615,10,0.10763845547473244,0.5
RQ2 xlstm/GF (sfogd_cqr): adaptiv vs const,RQ2,xlstm/GF/44/sfogd_cqr,xlstm_const/GF/44/sfogd_cqr,0.06536295363399865,0.1,0.4,0.24941351058179262,2.2392118294726564,10,0.46749521504246433,0.16666666666666666
RQ2 xlstm/GF (spci_cqr): adaptiv vs const,RQ2,xlstm/GF/44/spci_cqr,xlstm_const/GF/44/spci_cqr,0.06545116984333799,0.2,0.4,0.3112822435856485,3.1892218840447955,10,0.5250488761237653,0.16666666666666666
RQ2 xlstm/L (aci_cqr): adaptiv vs const,RQ2,xlstm/L/42/aci_cqr,xlstm_const/L/42/aci_cqr,0.060397524572761284,0.1,0.4,0.2513977406104222,3.420855994500411,10,0.47587717713367184,0.16666666666666666
RQ2 xlstm/L (agaci_cqr): adaptiv vs const,RQ2,xlstm/L/42/agaci_cqr,xlstm_const/L/42/agaci_cqr,0.05886409892583751,0.2,0.4,0.2740662314914958,3.6332192364993583,10,0.5658511756194243,0.2
RQ2 xlstm/L (cqr_rolling): adaptiv vs const,RQ2,xlstm/L/42/cqr_rolling,xlstm_const/L/42/cqr_rolling,0.05790258249889062,0.2,0.4,0.2917803337574074,2.933697110102481,10,0.5086765139497522,0.16666666666666666
RQ2 xlstm/L (cqr_static): adaptiv vs const,RQ2,xlstm/L/42/cqr_static,xlstm_const/L/42/cqr_static,-0.005415829787017098,0.5,0.8,0.01169663242714536,-3.0802080726915926,10,0.021727086781967265,0.6666666666666666
RQ2 xlstm/L (decay_ocp_cqr): adaptiv vs const,RQ2,xlstm/L/42/decay_ocp_cqr,xlstm_const/L/42/decay_ocp_cqr,-0.010416231631245738,0.6,0.5,0.10454151517134824,-1.2924551345165338,10,0.268958561102879,0.26666666666666666
RQ2 xlstm/L (dtaci_cqr): adaptiv vs const,RQ2,xlstm/L/42/dtaci_cqr,xlstm_const/L/42/dtaci_cqr,0.052169129028432404,0.1,0.4,0.24653634352258547,3.5790438439386105,10,0.48517455258819076,0.23333333333333334
RQ2 xlstm/L (mondrian_cqr): adaptiv vs const,RQ2,xlstm/L/42/mondrian_cqr,xlstm_const/L/42/mondrian_cqr,0.05809160167737096,0.2,0.3,0.3192898147462361,3.782096402954534,10,0.49896455050267796,0.13333333333333333
RQ2 xlstm/L (native): adaptiv vs const,RQ2,xlstm/L/42/native,xlstm_const/L/42/native,0.004707164873748359,0.5,0.6,0.06388678127819347,-0.8236152817750411,10,0.23048373190135407,0.3333333333333333
