model,regime,seed,cp_method,median_sharpe,active_share,median_cap_ratio
lstm_const,G,42,cqr_static,,0.0,
lstm_const,G,42,decay_ocp_cqr,,0.0,
lstm_const,G,42,dtaci_cqr,,0.0,0.6523018402251061
lstm_const,G,42,mondrian_cqr,0.30738931174713596,0.0007874015748031496,0.7824192091300831
lstm_const,G,42,native,,0.0,
lstm_const,G,42,pid_cqr,0.022717914657767187,0.012598425196850394,0.5878159216016695
lstm_const,G,42,pid_local_cqr,-0.08116975468508075,0.013385826771653541,0.6320029702907427
lstm_const,G,42,pid_tan_cqr,0.034064150695561096,0.01968503937007874,
lstm_const,G,42,saocp_cqr,,0.0,
lstm_const,G,42,sfogd_cqr,-0.007869300225333942,0.02125984251968504,0.6454989641057398
lstm_const,G,42,spci_cqr,0.6092323473007787,0.0031496062992125984,0.605798470939686
lstm_const,G,43,aci_cqr,0.2356741821862828,0.003937007874015748,0.6032126169712706
lstm_const,G,43,agaci_cqr,0.06639529500185799,0.003937007874015748,0.585725780650843
lstm_const,G,43,cqr_rolling,,0.0,0.6251829661427071
lstm_const,G,43,cqr_static,0.2330870055115389,0.011023622047244094,
lstm_const,G,43,decay_ocp_cqr,,0.0,
lstm_const,G,43,dtaci_cqr,0.1374971883586939,0.002362204724409449,0.6144606108921298
lstm_const,G,43,mondrian_cqr,,0.0,0.7780905162896921
lstm_const,G,43,native,,0.0,
lstm_const,G,43,pid_cqr,0.2589529787137602,0.011023622047244094,0.5932465783081171
lstm_const,G,43,pid_local_cqr,0.2916519451534552,0.01811023622047244,0.6488090511925944
lstm_const,G,43,pid_tan_cqr,0.2714923125277247,0.028346456692913385,0.7248068022004331
lstm_const,G,43,saocp_cqr,,0.0,
lstm_const,G,43,sfogd_cqr,0.2601404665441297,0.027559055118110236,0.6303512910557296
lstm_const,G,43,spci_cqr,0.02865589700496567,0.011811023622047244,0.6065277049437827
lstm_const,G,44,aci_cqr,0.30738931174713585,0.0007874015748031496,0.6174152393543955
lstm_const,G,44,agaci_cqr,0.30738931174713585,0.0007874015748031496,0.6099832724695551
lstm_const,G,44,cqr_rolling,,0.0,0.6313315842074283
lstm_const,G,44,cqr_static,,0.0,
lstm_const,G,44,decay_ocp_cqr,,0.0,
lstm_const,G,44,dtaci_cqr,0.30738931174713596,0.0007874015748031496,0.619040422566842
lstm_const,G,44,mondrian_cqr,0.04242500797704626,0.0015748031496062992,0.760025824929609
lstm_const,G,44,native,,0.0,
lstm_const,G,44,pid_cqr,0.29487883204139026,0.008661417322834646,0.585664345000836
lstm_const,G,44,pid_local_cqr,-0.17829090017082952,0.013385826771653541,0.6337288286718583
lstm_const,G,44,pid_tan_cqr,0.3073893117471359,0.011023622047244094,0.7743509545301261
lstm_const,G,44,saocp_cqr,,0.0,
lstm_const,G,44,sfogd_cqr,0.0020427129899299318,0.014173228346456693,0.6219513963185663
lstm_const,G,44,spci_cqr,0.17126228458482956,0.004724409448818898,0.5940705964994663
lstm_const,GF,42,aci_cqr,-0.09962216330255953,0.0031496062992125984,0.6298166799262075
